A:C4 F:10 B:01 C:10 D:C0 E:28 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:28 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:28 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:29 H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:29 H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:29 H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:29 H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:2A H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:2A H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:2A H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:2A H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:2B H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:2B H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:2B H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:2B H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:2C H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
A:C4 F:10 B:01 C:10 D:C0 E:2C H:40 L:00 SP:FFFE PC:0205 PCMEM:10,2A,12,1C
A:C4 F:10 B:01 C:10 D:C0 E:2C H:40 L:00 SP:FFFE PC:0207 PCMEM:12,1C,20,FB
A:C4 F:10 B:01 C:10 D:C0 E:2C H:40 L:00 SP:FFFE PC:0208 PCMEM:1C,20,FB,14
A:C4 F:10 B:01 C:10 D:C0 E:2D H:40 L:00 SP:FFFE PC:0209 PCMEM:20,FB,14,0D
